iter	Logloss
0	0.6764352252
1	0.660811043
2	0.6464373536
3	0.6317776521
4	0.6187425666
5	0.6078222859
6	0.5953371739
7	0.5859835167
8	0.5770846432
9	0.5683056426
10	0.5596406844
11	0.5517994146
12	0.5449336426
13	0.5396210415
14	0.5340268726
15	0.5279608011
16	0.5228653535
17	0.5175309015
18	0.5125845792
19	0.5087986433
20	0.5039375931
21	0.5005624888
22	0.4966915599
23	0.4930512665
24	0.4883361278
25	0.4855794584
26	0.4815199066
27	0.4789176808
28	0.4759942573
29	0.4740537545
30	0.4713917026
31	0.4695682856
32	0.4679317776
33	0.4643313572
34	0.4624145356
35	0.4596287865
36	0.4574409503
37	0.4555586799
38	0.4543301509
39	0.451084185
40	0.4500505005
41	0.4487800548
42	0.4467446823
43	0.4449750051
44	0.4427750069
45	0.4406536647
46	0.4388921117
47	0.4378484408
48	0.4367052718
49	0.4348217303
50	0.4339328858
51	0.4330431917
52	0.4318401596
53	0.4301509209
54	0.4286896083
55	0.4278984977
56	0.4267415352
57	0.4249258416
58	0.423146181
59	0.4216862167
60	0.4208545644
61	0.4192053204
62	0.4181966385
63	0.4165837141
64	0.4154891484
65	0.4143639956
66	0.412964456
67	0.4122268692
68	0.4117759699
69	0.4110771985
70	0.4105499382
71	0.4101786268
72	0.4096457106
73	0.4092780879
74	0.4085618671
75	0.4079704055
76	0.4076934767
77	0.4067121592
78	0.4056391045
79	0.4048134534
80	0.4036448878
81	0.4032338375
82	0.4028653912
83	0.4017958718
84	0.4011960659
85	0.4007819191
86	0.4003127552
87	0.3998476642
88	0.3993060173
89	0.3988983383
90	0.3983638462
91	0.3979678799
92	0.3975117505
93	0.3971845683
94	0.3968118235
95	0.3962888205
96	0.3959163282
97	0.3954142387
98	0.3950712384
99	0.394772599
100	0.3943021278
101	0.394018
102	0.3934083655
103	0.3924721528
104	0.3920373813
105	0.3917088264
106	0.3911723311
107	0.390758754
108	0.3903347097
109	0.3897782869
110	0.3893972901
111	0.389101347
112	0.3887708842
113	0.3884196608
114	0.3879911862
115	0.3877241821
116	0.3875263537
